step,loss,lr,norm,dt_ms,tok_sec
408,18.891396,0.000566,2.015681,23.754955,5388.349121
409,18.873919,0.000566,1.876225,23.968687,5340.300781
410,19.094872,0.000565,2.134687,23.874891,5361.280762
411,19.100014,0.000565,1.998041,24.365225,5253.389160
412,16.265083,0.000565,1.731689,23.464775,5454.985352
413,17.602459,0.000565,3.249874,22.990805,5567.443359
414,19.426239,0.000564,2.638595,23.953382,5343.712891
415,18.354433,0.000564,1.818242,24.146027,5301.079590
416,19.218603,0.000564,1.825783,22.844959,5602.986816
417,18.046907,0.000564,1.762559,25.290026,5061.284180
418,18.827322,0.000564,1.921314,23.124228,5535.320312
419,19.888065,0.000563,1.809385,23.226124,5511.036133
420,17.941427,0.000563,1.775022,24.500658,5224.349121
421,18.937960,0.000563,2.016219,23.112896,5538.033691
422,17.691166,0.000563,1.777308,25.970886,4928.595703
423,19.324934,0.000562,1.802614,22.854864,5600.558105
424,17.075653,0.000562,1.705113,24.212637,5286.495605
425,18.761454,0.000562,1.842374,25.359318,5047.454590
426,17.255779,0.000562,1.688667,23.952375,5343.937500
427,17.723301,0.000561,1.726652,21.962467,5828.124512
428,17.790865,0.000561,1.729427,27.366749,4677.208984
429,17.913942,0.000561,1.780250,21.764603,5881.108887
430,18.060188,0.000561,1.803297,27.762070,4610.606934
431,17.668095,0.000561,1.810209,23.412992,5467.049805
432,15.799591,0.000560,1.679944,24.201340,5288.963379
433,17.813566,0.000560,1.782911,23.592775,5425.389648
434,18.107674,0.000560,1.785035,25.849863,4951.670410
435,17.357092,0.000560,1.844763,21.780300,5876.870117
436,17.646107,0.000559,1.849702,24.735285,5174.793945
437,19.489750,0.000559,1.907365,23.033133,5557.211914
438,19.101732,0.000559,1.908981,25.457701,5027.948242
439,19.093781,0.000559,2.451446,23.137926,5532.042969
440,18.793709,0.000558,1.859962,23.347496,5482.386719
441,17.973679,0.000558,1.741824,24.967468,5126.671387
442,18.720016,0.000558,1.812767,23.472055,5453.292969
443,17.627913,0.000558,1.648473,24.785789,5164.249512
444,18.614075,0.000557,1.863245,25.622242,4995.659668
445,18.068230,0.000557,1.955670,25.153320,5088.791504
446,18.484890,0.000557,1.746881,24.731802,5175.522461
447,17.678905,0.000557,1.783624,25.075815,5104.520020
448,19.689434,0.000557,1.875777,23.135096,5532.719727
449,16.519814,0.000556,2.000434,25.865171,4948.739746
450,18.799465,0.000556,1.974348,23.564594,5431.877930
451,18.944399,0.000556,3.514309,25.993164,4924.371582
452,17.824612,0.000556,2.088095,24.132496,5304.051270
453,18.389883,0.000555,2.070112,23.669453,5407.813965
454,18.316788,0.000555,2.095378,24.752337,5171.229004
455,18.708288,0.000555,1.886817,23.618322,5419.521484
456,16.687088,0.000555,1.689570,22.753748,5625.447266
457,17.016706,0.000554,2.084823,25.517303,5016.204102
458,18.443411,0.000554,2.058371,23.116117,5537.262207
459,18.368746,0.000554,1.979570,24.230938,5282.502930
460,17.606403,0.000554,2.058973,24.667936,5188.922363
461,18.748129,0.000553,1.813865,24.096617,5311.948730
462,18.189535,0.000553,1.896607,24.098549,5311.522949
463,18.483341,0.000553,2.237525,24.041397,5324.149902
464,18.676245,0.000553,1.803992,23.582043,5427.858887
465,19.734028,0.000552,1.981030,25.063044,5107.121094
466,18.439976,0.000552,1.762976,23.320402,5488.755859
467,18.626451,0.000552,1.768323,24.091780,5313.015625
468,18.454603,0.000552,1.826048,25.073374,5105.017090
469,18.480726,0.000551,1.773162,23.384041,5473.818848
470,18.936863,0.000551,1.948699,26.004841,4922.160156
471,18.162008,0.000551,1.943973,23.923504,5350.387207
472,17.768372,0.000551,1.802795,25.709167,4978.769043
473,18.157825,0.000550,1.829067,24.563669,5210.948242
474,17.862797,0.000550,1.969306,23.047480,5553.752930
475,18.027351,0.000550,1.867569,23.058100,5551.194824
476,18.855347,0.000549,2.199148,26.520676,4826.423340
477,18.975452,0.000549,1.779053,22.650280,5651.144531
478,18.552187,0.000549,2.118597,25.491047,5021.370605
479,18.746115,0.000549,2.052706,23.343559,5483.311035
480,18.997980,0.000548,1.943998,23.706345,5399.398438
481,18.093266,0.000548,1.805276,24.047071,5322.893555
482,18.214010,0.000548,1.795007,23.383394,5473.970215
483,18.384941,0.000548,1.788910,23.944311,5345.737305
484,20.013783,0.000547,1.913788,24.632095,5196.472656
485,17.343397,0.000547,2.096787,23.324556,5487.778320
486,19.770105,0.000547,2.045092,25.544191,5010.923828
487,18.516394,0.000547,1.912926,23.614477,5420.403809
488,19.323479,0.000546,1.891729,24.363953,5253.663574
489,18.793001,0.000546,2.218588,24.892389,5142.133789
490,18.024185,0.000546,1.929477,23.336880,5484.880371
491,18.779785,0.000546,1.865799,25.066870,5106.341797
492,20.284636,0.000545,2.497888,24.890823,5142.457520
493,19.933060,0.000545,2.379578,23.650299,5412.193359
494,18.516174,0.000545,1.924976,24.035555,5325.443848
495,20.026539,0.000544,2.302577,24.747120,5172.318848
