Step    Loss           Time (ms)         Tokens/sec          
547     7.539997       12060             663.35              
548     7.523046       12220             654.66              
549     7.508070       11939             670.07              
550     7.498885       12243             653.43              
551     7.524537       12229             654.18              
552     7.532295       11904             672.04              
553     7.512979       12242             653.49              
554     7.521104       12214             654.99              
555     7.528214       11952             669.34              
556     7.514079       12214             654.99              
557     7.513539       12234             653.92              
558     7.520359       11945             669.74              
559     7.518725       12242             653.49              
560     7.513637       12240             653.59              
561     7.493674       11939             670.07              
562     7.517130       12233             653.97              
563     7.506326       12215             654.93              
564     7.509865       11952             669.34              
565     7.524076       12230             654.13              
566     7.501501       12233             653.97              
567     7.507041       11935             670.30              
568     7.526121       12240             653.59              
569     7.536016       12199             655.79              
570     7.535457       11960             668.90              
571     7.536588       12231             654.08              
572     7.520198       12761             626.91              
573     7.528161       12275             651.73              
574     7.519356       11880             673.40              
575     7.511290       12432             643.50              
576     7.525106       12124             659.85              
577     7.517602       12037             664.62              
578     7.517501       11989             667.28              
579     7.520796       11890             672.83              
580     7.518895       11755             680.56              
581     7.532570       11695             684.05              
582     7.506813       11980             667.78              
583     7.520578       11718             682.71              
584     7.513318       11723             682.42              
585     7.516030       11711             683.12              
586     7.512501       11713             683.00              
587     7.528544       11716             682.83              
588     7.500400       11710             683.18              
589     7.504381       11723             682.42              
590     7.529187       11957             669.06              
591     7.517145       11953             669.29              
592     7.536170       11746             681.08              
593     7.539221       11691             684.29              
594     7.535118       11690             684.35              
595     7.523933       11690             684.35              
596     7.534248       11684             684.70              
597     7.536997       11694             684.11              
598     7.518714       11696             683.99              
599     7.515963       11689             684.40              
600     7.526366       11700             683.76              
601     7.515616       11690             684.35              
602     7.504738       11687             684.52              
603     7.526526       11694             684.11              
604     7.512859       11692             684.23              
605     7.524290       11694             684.11              
606     7.526301       11695             684.05              
607     7.521048       11690             684.35              
608     7.531779       11693             684.17              
609     7.578428       11694             684.11              
610     7.565146       11692             684.23              
611     7.528343       11691             684.29              
612     7.522526       11688             684.46              
613     7.508778       11691             684.29              
614     7.506162       11687             684.52              
615     7.517294       11692             684.23              
616     7.521032       11691             684.29              
617     7.513039       11694             684.11              
618     7.481858       11695             684.05              
619     7.492349       11701             683.70              
620     7.509058       11691             684.29              
621     7.497398       11757             680.45              
622     7.505528       11832             676.13              
623     7.512151       11961             668.84              
624     7.513054       11833             676.08              
625     7.510772       11741             681.37              
626     7.530774       11723             682.42              
627     7.510562       11724             682.36              
628     7.525455       11734             681.78              
629     7.530192       11694             684.11              
630     7.523225       11694             684.11              
631     7.535448       11690             684.35              
632     7.533420       11692             684.23              
633     7.520190       11698             683.88              
634     7.517921       11702             683.64              
635     7.535871       11699             683.82              
636     7.509228       11699             683.82              
637     7.521188       11694             684.11              
638     7.495693       11691             684.29              
639     7.515254       11696             683.99              
640     7.514997       11689             684.40              
641     7.501355       11693             684.17              
642     7.516832       11692             684.23              
643     7.495668       11689             684.40              
644     7.496301       11691             684.29              
645     7.500078       11688             684.46              
646     7.502461       11693             684.17              
647     7.514870       11693             684.17              
648     7.511701       11686             684.58              
649     7.543993       11692             684.23              
650     7.528080       11691             684.29              
651     7.495316       11691             684.29              
652     7.528152       11685             684.64              
653     7.510547       11693             684.17              
654     7.498872       11682             684.81              
655     7.520478       11690             684.35              
656     7.527667       11748             680.97              
657     7.541436       11715             682.89              
658     7.522411       11766             679.93              
659     7.534659       11770             679.69              
660     7.519461       11758             680.39              
661     7.483711       11782             679.00              
662     7.505142       11749             680.91              
663     7.511508       11722             682.48              
664     7.500999       11721             682.54              
665     7.518150       11743             681.26              
666     7.505673       11730             682.01              
667     7.495859       11774             679.46              
668     7.511549       11768             679.81              
669     7.499824       11685             684.64              
670     7.476551       11715             682.89              
671     7.528622       11701             683.70              
672     7.505209       11698             683.88              
673     7.532382       11700             683.76              
674     7.514796       11697             683.94              
675     7.508396       11706             683.41              
676     7.522985       11694             684.11              
677     7.510680       11697             683.94              
678     7.515977       11700             683.76              
679     7.521996       11696             683.99              
680     7.534822       11708             683.29              
681     7.524543       11696             683.99              
682     7.539206       11698             683.88              
683     7.521874       11701             683.70              
684     7.520851       11696             683.99              
685     7.504650       11699             683.82              
686     7.524806       11694             684.11              
687     7.485978       11849             675.16              
688     7.506316       11795             678.25              
689     7.523416       11973             668.17              
690     7.507592       11766             679.93              
691     7.507036       11898             672.38              
692     7.514221       11840             675.68              
693     7.503774       11905             671.99              
694     7.499364       11729             682.07              
695     7.509133       11887             673.00              
696     7.496727       11953             669.29              
697     7.503003       11798             678.08              
698     7.529455       11817             676.99              
699     7.509854       11739             681.49              
700     7.506848       11805             677.68              
701     7.506360       11826             676.48              
702     7.506393       11954             669.23              
703     7.522244       12060             663.35              
704     7.514081       11939             670.07              
705     7.513449       11890             672.83              
706     7.523568       11886             673.06              
707     7.535511       12037             664.62              
708     7.529370       11936             670.24              
709     7.502579       12097             661.32              
710     7.501115       12096             661.38              
711     7.530377       12061             663.29              
712     7.537313       11848             675.22              
713     7.518102       11799             678.02              
714     7.494483       11722             682.48              
715     7.497544       11757             680.45              
716     7.510929       11721             682.54              
717     7.505660       11710             683.18              
718     7.494455       11718             682.71              
719     7.518109       11689             684.40              
720     7.510406       11694             684.11              
721     7.502642       11685             684.64              
722     7.526304       11689             684.40              
723     7.533678       11690             684.35              
724     7.520563       11685             684.64              
725     7.517763       11755             680.56              
726     7.505784       11727             682.19              
727     7.514602       11739             681.49              
728     7.521680       11710             683.18              
729     7.520719       11707             683.35              
730     7.536878       11710             683.18              
731     7.526421       11711             683.12              
732     7.534847       11726             682.24              
733     7.519744       11733             681.84              
734     7.519181       11711             683.12              
735     7.519543       11708             683.29              
736     7.504898       11741             681.37              
737     7.493145       11727             682.19              
738     7.515283       11738             681.55              
739     7.533074       11713             683.00              
740     7.501219       11715             682.89              
741     7.529245       11714             682.94              
742     7.513439       11730             682.01              
743     7.488994       11713             683.00              
744     7.526651       11714             682.94              
745     7.515023       11707             683.35              
746     7.520325       11725             682.30              
747     7.516512       11716             682.83              
748     7.524800       11711             683.12              
749     7.512280       11713             683.00              
750     7.519001       11710             683.18              
751     7.516428       11714             682.94              
752     7.508113       11761             680.21              
753     7.497684       11770             679.69              
754     7.532449       11822             676.70              
755     7.517207       11771             679.64              
756     7.532553       11715             682.89              
757     7.542089       11868             674.08              
758     7.518480       11886             673.06              
759     7.516677       11779             679.17              
760     7.503284       11692             684.23              
761     7.510696       11873             673.80              
762     7.517394       12048             664.01              
763     7.501350       12271             651.94              
764     7.512989       11954             669.23              
765     7.502474       11761             680.21              
766     7.509808       11770             679.69              
767     7.507658       11789             678.60              
768     7.502047       11708             683.29              
769     7.506356       11704             683.53              
770     7.538102       11704             683.53              
771     7.537709       11702             683.64              
772     7.534278       11707             683.35              
