step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec, timer_data, timer_fwd, timer_loss, timer_bwd, timer_clip, timer_optim, timer_tok_emb, timer_pos_emb, timer_attn, timer_mlp, timer_ln_f, timer_lm_head
75,8.729012,-1.000000,0.000100,2.566296,2024.639404,32369.220840,0.129088,1071.619232,40.715680,769.679298,71.672386,3.932704,2.909920,3.575264,634.722115,147.410912,2.938784,274.709633
76,8.688392,-1.000000,0.000101,2.590623,2028.584839,32306.265306,0.134944,1072.440979,39.808064,771.918915,73.641151,3.617376,2.309472,2.979840,639.215296,145.680416,2.940768,274.355556
77,8.675350,-1.000000,0.000102,2.525176,2032.052490,32251.135399,0.673184,1075.578430,40.969120,771.332321,72.131554,3.861056,2.309664,3.000704,642.739645,144.146688,4.064448,272.559101
78,8.632370,-1.000000,0.000103,2.533588,2024.454712,32372.173907,0.130624,1070.953613,40.383456,771.524834,71.547485,3.604448,2.321440,2.982208,639.482365,146.033599,2.939136,272.384445
79,8.621303,-1.000000,0.000105,2.499404,2031.350586,32262.279320,0.288448,1071.771713,42.202944,772.018204,71.871010,3.612064,2.319040,3.128576,636.209091,147.482400,2.940160,272.632923
80,8.598780,-1.000000,0.000106,2.516356,2024.581665,32370.143982,0.135264,1072.375153,40.553856,770.559937,70.750755,3.832960,2.967680,2.985536,638.504543,144.999424,3.084000,274.247620
81,8.532194,-1.000000,0.000107,2.594388,2023.809692,32382.491420,0.409856,1072.869843,40.431744,768.460449,71.516609,3.608896,2.320448,2.983360,639.951811,145.921120,2.941120,273.679707
82,8.506564,-1.000000,0.000109,2.536658,2026.135620,32345.317534,0.134304,1069.525024,39.783840,775.221657,70.672829,3.864352,2.318464,2.983552,638.951748,144.941216,2.940160,271.792709
83,8.453910,-1.000000,0.000110,2.516099,2028.603149,32305.973704,0.326208,1073.318451,40.624928,771.945801,70.647934,4.780448,2.319552,2.979008,638.621687,146.992480,3.094016,274.628189
84,8.454686,-1.000000,0.000111,2.495936,2027.201782,32328.306227,0.138976,1070.617432,40.740223,771.639717,73.785919,3.602176,2.610208,3.461088,634.286846,148.193697,3.249312,273.270077
85,8.371336,-1.000000,0.000113,2.480125,2028.289551,32310.968606,1.061312,1070.605667,40.643680,772.731010,71.902718,3.617056,2.507552,2.988032,637.010370,147.138720,2.950720,273.530502
86,8.424772,-1.000000,0.000114,2.392484,2026.186401,32344.506880,0.145888,1072.183716,41.457952,769.122047,72.114174,3.611584,2.313280,3.176928,636.038177,149.145472,3.498432,272.720001
87,8.275245,-1.000000,0.000115,2.489320,2032.479370,32244.361721,0.137984,1074.591385,40.564161,775.546082,70.921501,3.608640,2.508640,2.989152,641.383776,145.533056,3.077472,274.408096
88,8.280968,-1.000000,0.000117,2.418114,2026.278931,32343.029880,0.349280,1069.193451,41.334496,773.237251,71.204163,3.601120,2.312928,3.181280,634.968958,148.429855,2.939744,272.362621
89,8.327089,-1.000000,0.000118,2.371392,2029.860596,32285.960986,0.639040,1071.344330,41.086848,773.364250,71.778656,3.856800,2.323680,3.739936,639.337822,145.868064,2.941664,272.444736
90,8.177780,-1.000000,0.000119,2.416085,2034.175659,32217.473306,0.256288,1072.929657,40.070720,777.584801,72.811646,3.609184,2.504128,2.982080,639.731518,146.247233,2.939008,272.739460
91,8.212479,-1.000000,0.000121,2.410569,2024.137695,32377.243975,0.131552,1071.147568,40.355136,770.475838,71.876640,3.934432,2.306656,2.982656,637.948187,146.691169,2.945024,273.812927
92,8.187190,-1.000000,0.000122,2.386357,2026.540283,32338.858765,0.139360,1069.767273,40.767680,773.368279,72.140579,3.861088,2.621312,3.185440,634.896353,147.265504,3.411552,272.674339
93,8.117266,-1.000000,0.000123,2.392645,2030.211914,32280.374057,0.135840,1074.487579,41.283904,771.206017,71.857086,3.894048,2.750656,2.986656,637.992420,145.995967,3.356928,275.495773
94,8.041047,-1.000000,0.000124,2.430888,2027.249878,32327.539251,0.676544,1072.126724,40.983872,770.699654,70.449791,3.612224,2.460704,3.123232,638.197794,146.850751,2.944832,273.777664
95,8.087276,-1.000000,0.000126,2.359313,2033.931030,32221.348229,0.134144,1073.456787,41.167616,776.342842,71.536797,4.074624,2.318816,3.119104,639.983265,145.953504,2.941312,274.394207
96,8.038979,-1.000000,0.000127,2.302049,2021.058838,32426.567090,0.558592,1068.137390,40.081696,770.577881,71.077057,3.606592,2.315072,2.977888,634.878784,146.756063,2.937184,272.835613
97,7.976485,-1.000000,0.000128,2.347563,2024.357544,32373.727752,0.135392,1070.387833,40.337888,772.069588,71.684898,3.615488,2.315648,2.989440,639.235489,143.876608,2.943648,273.278599
98,7.961999,-1.000000,0.000130,2.330754,2029.604126,32290.040782,0.135680,1071.157928,42.533216,772.948769,71.935966,4.027008,2.742624,3.968704,635.818012,147.295072,2.939840,273.360062
99,7.982425,-1.000000,0.000131,2.272610,2031.138306,32265.651146,0.132512,1075.245422,40.337088,772.605957,72.116928,3.849440,2.313440,3.953248,640.920197,146.571617,2.941344,273.590458
100,8.003349,7.933747,0.000132,2.275620,4811.201660,13621.545017,0.131200,1071.630325,42.141280,770.105270,71.192833,3.609632,2.689088,3.769056,633.616323,149.492641,2.941856,273.453922
101,7.954687,-1.000000,0.000134,2.319841,2030.650879,32273.396023,0.696864,1072.285797,41.170816,772.592026,72.288605,4.059904,2.307648,2.979744,638.677214,147.107457,2.938784,273.474110
102,8.005053,-1.000000,0.000135,2.253452,2026.809326,32334.566036,0.810080,1072.262650,41.453120,768.939209,71.038528,4.019808,2.756576,2.980832,634.058916,148.268704,3.305472,275.324055
