step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec,timer_data,timer_fwd,timer_loss,timer_bwd,timer_clip,timer_optim,timer_tok_emb,timer_pos_emb,timer_attn,timer_mlp,timer_ln_f,timer_lm_head
97,7.046208,-1.000000,0.00033793,0.374293,2271.56,28850.70,1.36,685.13,173.04,1402.94,1.24,5.93,0.96,0.23,193.70,121.13,0.78,359.56
98,7.046113,-1.000000,0.00034138,0.398363,2275.51,28800.60,1.73,688.64,171.83,1403.96,1.48,6.16,0.84,0.35,192.91,121.68,0.81,364.57
99,7.126773,-1.000000,0.00034483,0.302903,2241.31,29240.05,5.10,674.80,172.39,1379.08,1.28,5.59,0.87,0.20,193.72,121.18,0.86,348.80
100,7.183915,7.084837,0.00034828,0.456562,4265.28,15364.98,1.82,665.85,163.80,1360.63,1.36,5.93,1.68,0.20,193.92,121.30,0.82,341.96
101,7.155407,-1.000000,0.00035172,0.336708,2214.74,29590.83,1.11,669.45,169.76,1365.55,1.25,5.59,0.95,0.24,193.59,119.75,0.86,346.42
102,7.234394,-1.000000,0.00035517,0.494091,2195.17,29854.68,1.62,668.48,165.01,1351.90,1.24,5.61,0.94,0.24,195.00,119.97,0.81,346.72
103,7.207856,-1.000000,0.00035862,0.498116,2238.24,29280.09,1.80,681.20,167.83,1378.64,1.27,5.60,0.98,0.25,194.53,121.43,0.78,356.07
104,7.004559,-1.000000,0.00036207,0.421443,2283.79,28696.17,6.97,697.83,166.94,1402.70,1.27,5.61,1.00,0.21,199.44,120.97,0.76,365.55
105,7.035350,-1.000000,0.00036552,0.581962,2316.75,28287.84,3.71,703.68,177.55,1420.20,2.03,6.13,0.87,0.22,196.85,124.20,0.86,366.24
106,6.965649,-1.000000,0.00036897,0.357508,2298.81,28508.64,1.67,702.93,175.04,1409.02,1.21,6.55,1.16,0.23,193.93,123.99,0.73,369.34
107,6.958837,-1.000000,0.00037241,0.467391,2292.53,28586.78,1.72,694.71,167.28,1418.39,1.26,7.47,0.87,0.21,198.08,120.96,0.82,362.39
108,7.088186,-1.000000,0.00037586,0.411737,2307.48,28401.53,2.91,709.29,171.48,1413.97,1.28,5.60,0.85,0.21,195.34,125.30,0.99,376.29
109,7.033227,-1.000000,0.00037931,0.475619,2312.46,28340.39,1.71,698.20,176.03,1424.19,2.52,6.91,0.99,0.22,192.45,126.13,0.73,365.86
110,7.203758,-1.000000,0.00038276,0.535367,2313.70,28325.17,3.13,706.46,175.24,1417.12,1.29,6.50,0.71,0.17,200.04,121.01,0.79,370.51
111,7.039457,-1.000000,0.00038621,0.366822,2292.91,28581.99,2.77,694.58,170.45,1416.27,1.50,6.25,0.94,0.24,197.22,122.41,0.80,364.31
112,7.005894,-1.000000,0.00038966,0.453516,2285.53,28674.32,2.79,691.80,171.86,1407.93,1.14,6.66,0.84,0.21,194.17,120.83,0.78,363.23
113,6.818005,-1.000000,0.00039310,0.444587,2306.65,28411.73,2.54,699.61,171.93,1420.76,2.40,7.13,0.89,0.48,196.57,121.68,0.76,367.82
114,6.756207,-1.000000,0.00039655,0.401228,2314.96,28309.75,2.57,708.06,171.95,1424.01,1.26,5.61,2.04,0.20,195.31,121.07,0.76,375.19
115,6.888906,-1.000000,0.00040000,0.394722,2319.44,28255.08,4.07,706.28,178.74,1418.83,1.30,6.32,1.03,0.21,195.52,123.59,0.81,372.45
116,6.814389,-1.000000,0.00040345,0.376669,2296.90,28532.43,4.91,698.24,174.19,1408.84,1.24,5.66,0.81,0.53,194.32,122.80,0.81,369.37
117,6.919700,-1.000000,0.00040690,0.397865,2304.88,28433.63,2.01,703.46,175.38,1414.43,1.14,5.63,0.92,0.22,195.68,120.45,0.81,368.30
118,6.662761,-1.000000,0.00041034,0.563840,2309.37,28378.30,2.10,702.69,175.07,1418.75,1.29,5.61,0.87,0.21,194.78,117.75,0.79,371.97
119,6.674664,-1.000000,0.00041379,0.380401,2304.28,28441.04,3.94,701.45,173.66,1414.97,1.25,6.12,0.89,0.23,197.44,122.60,0.82,371.23
120,6.845376,-1.000000,0.00041724,0.445552,2289.86,28620.09,1.91,699.30,168.39,1410.62,1.28,6.01,1.07,0.24,197.10,123.69,0.94,368.13
121,6.853058,-1.000000,0.00042069,0.312364,2307.43,28402.13,4.85,705.60,168.66,1417.49,1.31,6.70,0.79,0.20,197.37,121.95,0.79,371.18
122,6.778108,-1.000000,0.00042414,0.503398,2309.85,28372.36,1.76,706.76,169.01,1421.60,1.39,6.36,0.86,0.45,196.03,123.13,0.86,372.02
123,6.781352,-1.000000,0.00042759,0.370828,2313.71,28325.07,3.20,699.75,178.07,1421.93,1.25,5.60,1.15,0.22,193.46,123.26,0.86,366.63
124,6.777141,-1.000000,0.00043103,0.395982,2297.58,28523.88,1.52,696.05,174.41,1416.37,1.26,5.85,0.99,0.37,196.23,120.06,0.99,366.74
125,6.865446,-1.000000,0.00043448,1.337005,2289.01,28630.77,2.21,700.17,172.48,1403.96,1.88,5.94,0.92,0.23,194.47,122.19,0.85,370.84
126,6.882315,-1.000000,0.00043793,0.596242,2305.77,28422.59,1.51,691.18,180.01,1422.30,1.32,6.25,0.90,0.58,194.51,125.13,0.86,357.19
127,6.714002,-1.000000,0.00044138,0.460808,2315.29,28305.78,3.98,702.69,174.96,1424.63,1.27,5.61,0.87,0.25,194.40,121.54,0.77,374.68
128,6.744050,-1.000000,0.00044483,0.501179,2308.36,28390.66,3.08,708.70,172.54,1413.14,1.26,5.60,0.77,0.20,198.39,122.66,0.70,372.36
129,6.777397,-1.000000,0.00044828,0.460071,2308.09,28394.03,3.45,700.14,171.03,1421.34,1.27,7.37,1.12,0.24,195.73,122.61,0.80,366.58
130,6.836885,-1.000000,0.00045172,0.481580,2301.21,28478.97,2.78,697.56,174.32,1414.63,1.31,5.62,1.05,0.21,194.53,120.87,0.83,366.42
