step,type,loss,lr,norm,dt_ms,tok_per_sec
166,train,7.036049,1.976331e-04,0.6044,1144.39,57267.36
167,train,7.093195,1.988166e-04,0.6855,1154.14,56783.55
168,train,7.033993,2.000000e-04,0.6023,1144.89,57242.02
169,train,7.161288,2.011834e-04,0.5993,1143.60,57306.88
170,train,6.960465,2.023669e-04,0.6818,1102.53,59441.38
171,train,7.073900,2.035503e-04,0.4961,1098.68,59649.55
172,train,6.935374,2.047337e-04,0.6720,1102.31,59453.18
173,train,7.021532,2.059172e-04,0.7312,1100.54,59548.99
174,train,6.965823,2.071006e-04,0.5828,1099.30,59615.98
175,train,7.122599,2.082840e-04,0.7167,1100.91,59528.96
176,train,7.003016,2.094675e-04,0.6154,1100.15,59569.94
177,train,6.958350,2.106509e-04,0.4714,1100.55,59548.40
178,train,6.949962,2.118343e-04,0.5003,1100.13,59571.16
179,train,6.881173,2.130178e-04,0.4714,1099.30,59616.15
180,train,6.768226,2.142012e-04,0.5683,1099.46,59607.41
181,train,7.149285,2.153846e-04,0.6168,1101.15,59515.91
182,train,6.912441,2.165680e-04,0.7260,1101.21,59512.98
183,train,6.883316,2.177515e-04,0.7706,1103.13,59409.21
184,train,6.881596,2.189349e-04,0.5090,1106.97,59203.15
185,train,6.864529,2.201183e-04,0.5521,1128.03,58097.69
186,train,6.769549,2.213018e-04,0.4683,1090.04,60122.38
187,train,6.943039,2.224852e-04,0.4803,1090.64,60089.72
188,train,7.026785,2.236686e-04,0.4609,1088.62,60201.12
189,train,7.242727,2.248521e-04,1.1049,1088.59,60202.55
190,train,6.870674,2.260355e-04,0.3879,1088.59,60202.55
191,train,6.794492,2.272189e-04,0.5243,1088.50,60207.87
192,train,6.703046,2.284024e-04,0.4584,1086.88,60297.27
193,train,6.727586,2.295858e-04,0.6641,1087.23,60278.00
194,train,6.718338,2.307692e-04,0.3233,1088.21,60223.86
195,train,6.810294,2.319527e-04,0.6121,1089.33,60161.83
196,train,6.843457,2.331361e-04,0.7153,1088.52,60206.33
197,train,6.832343,2.343195e-04,0.6034,1087.84,60244.36
198,train,6.728422,2.355030e-04,0.7436,1088.47,60209.36
199,train,6.733462,2.366864e-04,0.5571,1087.78,60247.46
200,train,6.758628,2.378698e-04,0.5921,1087.04,60288.74
201,train,6.730436,2.390533e-04,0.4878,1087.52,60262.14
202,train,6.528493,2.402367e-04,0.4021,1087.63,60255.72
203,train,6.653028,2.414201e-04,0.5725,1087.86,60243.19
204,train,6.634980,2.426036e-04,0.4194,1087.17,60281.49
205,train,6.692207,2.437870e-04,0.6958,1089.76,60138.00
206,train,6.717813,2.449704e-04,0.4720,1087.55,60260.21
207,train,6.605882,2.461538e-04,0.5782,1088.19,60224.76
208,train,6.864184,2.473373e-04,0.4573,1088.71,60196.01
209,train,6.626039,2.485207e-04,0.4290,1088.14,60227.70
210,train,6.762381,2.497041e-04,0.4389,1087.23,60278.11
211,train,6.672844,2.508876e-04,0.4427,1087.19,60280.37
212,train,6.631569,2.520710e-04,0.5080,1088.99,60180.46
213,train,6.578024,2.532544e-04,0.3936,1088.17,60225.91
214,train,6.662809,2.544379e-04,0.3470,1088.09,60230.53
215,train,6.572716,2.556213e-04,0.4654,1088.43,60211.37
216,train,6.647975,2.568047e-04,0.4687,1088.14,60227.75
217,train,6.534928,2.579882e-04,0.4241,1088.09,60230.21
218,train,6.535019,2.591716e-04,0.5254,1087.23,60277.90
219,train,6.604550,2.603550e-04,0.5038,1087.81,60245.59
220,train,6.641288,2.615385e-04,0.4581,1088.27,60220.39
221,train,6.523329,2.627219e-04,0.4926,1087.31,60273.34
222,train,6.501056,2.639053e-04,0.5051,1086.88,60297.09
223,train,6.674323,2.650888e-04,0.4453,1087.29,60274.69
224,train,6.567273,2.662722e-04,0.5276,1087.95,60238.13
225,train,6.635221,2.674556e-04,0.4467,1087.92,60239.63
226,train,6.475148,2.686391e-04,0.6491,1086.82,60300.48
227,train,6.626304,2.698225e-04,0.6400,1087.37,60270.16
228,train,6.555262,2.710059e-04,0.5878,1087.82,60245.19
229,train,6.549975,2.721893e-04,0.6968,1087.39,60269.23
230,train,6.458953,2.733728e-04,0.4957,1087.28,60275.44
231,train,6.511412,2.745562e-04,0.5401,1086.50,60318.71
232,train,6.495266,2.757396e-04,0.4484,1087.51,60262.59
233,train,6.426382,2.769231e-04,0.4446,1088.92,60184.54
234,train,6.464589,2.781065e-04,0.3494,1087.66,60254.33
235,train,6.493769,2.792899e-04,0.6135,1087.58,60258.78
236,train,6.542723,2.804734e-04,0.5273,1087.15,60282.44
237,train,6.422485,2.816568e-04,0.7393,1086.96,60292.96
238,train,6.340184,2.828402e-04,0.4653,1090.43,60101.32
239,train,6.530494,2.840237e-04,0.6019,1087.95,60238.12
240,train,6.495982,2.852071e-04,0.4876,1086.84,60299.85
241,train,6.693089,2.863905e-04,0.8167,1087.85,60243.38
242,train,6.579025,2.875740e-04,0.5159,1089.92,60129.25
243,train,6.730990,2.887574e-04,1.0714,1086.78,60303.19
244,train,6.585041,2.899408e-04,0.5073,1087.16,60282.07
245,train,6.634273,2.911243e-04,0.5892,1087.70,60252.18
246,train,6.443415,2.923077e-04,0.4742,1087.77,60248.24
247,train,6.516659,2.934911e-04,0.5598,1088.33,60217.21
248,train,6.492408,2.946746e-04,0.3605,1088.47,60209.25
249,train,6.509877,2.958580e-04,0.5938,1087.05,60288.19
250,train,6.477573,2.970414e-04,0.4092,1087.83,60244.44
251,train,6.573792,2.982249e-04,0.5786,1086.83,60300.03
252,train,6.671837,2.994083e-04,0.7457,1089.28,60164.27
253,train,6.390569,3.005917e-04,0.6829,1088.51,60207.04
254,train,6.390922,3.017751e-04,0.6834,1088.13,60227.98
255,train,6.454827,3.029586e-04,0.6021,1086.91,60295.67
256,train,6.447910,3.041420e-04,0.7257,1087.28,60275.21
257,train,6.348593,3.053254e-04,0.5644,1086.38,60324.85
258,train,6.856035,3.065089e-04,0.7799,1087.61,60256.96
259,train,6.353662,3.076923e-04,0.6196,1086.61,60312.40
260,train,6.477001,3.088757e-04,0.6265,1087.35,60271.27
261,train,6.554531,3.100592e-04,0.5847,1086.73,60305.46
262,train,6.465917,3.112426e-04,0.5912,1088.57,60203.98
263,train,6.550309,3.124260e-04,0.7552,1087.79,60246.97
264,train,6.494954,3.136095e-04,0.4328,1087.38,60269.60
265,train,6.589184,3.147929e-04,0.9433,1088.68,60197.84
266,train,6.451009,3.159763e-04,0.6418,1087.94,60238.50
267,train,6.442910,3.171598e-04,0.9003,1086.81,60301.11
268,train,6.472612,3.183432e-04,0.5721,1087.08,60286.52
269,train,6.574380,3.195266e-04,0.6848,1088.11,60229.05
270,train,6.410729,3.207101e-04,0.6335,1088.65,60199.54
271,train,6.352649,3.218935e-04,0.5644,1086.55,60315.49
272,train,6.350074,3.230769e-04,0.5805,1087.18,60280.55
273,train,6.512568,3.242604e-04,0.5846,1087.58,60258.77
274,train,6.382229,3.254438e-04,0.4887,1089.42,60157.04
275,train,6.225379,3.266272e-04,0.4691,1087.96,60237.67
276,train,6.311517,3.278107e-04,0.5678,1086.33,60328.03
277,train,6.311353,3.289941e-04,0.5724,1086.81,60301.44
278,train,6.167167,3.301775e-04,0.6022,1089.62,60145.61
279,train,6.446549,3.313609e-04,0.8400,1088.38,60214.19
280,train,6.361978,3.325444e-04,0.7036,1088.65,60199.49
281,train,6.239101,3.337278e-04,0.7100,1088.21,60223.88
282,train,6.306174,3.349112e-04,0.6020,1087.04,60288.56
283,train,6.264376,3.360947e-04,0.8063,1087.08,60286.10
284,train,6.408162,3.372781e-04,0.5430,1088.94,60183.11
285,train,6.367134,3.384615e-04,0.5606,1087.64,60255.08
286,train,6.330749,3.396450e-04,0.5779,1086.71,60306.93
287,train,6.332118,3.408284e-04,0.5611,1087.60,60257.49
288,train,6.256699,3.420118e-04,0.5912,1088.01,60234.88
289,train,6.354014,3.431953e-04,0.5911,1088.01,60235.01
290,train,6.284571,3.443787e-04,0.5074,1087.03,60289.09
291,train,6.303779,3.455621e-04,0.5300,1088.08,60230.64
292,train,6.533226,3.467456e-04,0.5314,1088.75,60193.82
293,train,6.402516,3.479290e-04,0.5571,1088.68,60197.73
294,train,6.334495,3.491124e-04,0.7347,1087.67,60253.41
295,train,6.277047,3.502959e-04,0.6521,1088.20,60223.95
296,train,6.264157,3.514793e-04,0.5504,1087.80,60246.30
297,train,6.263086,3.526627e-04,0.5080,1087.39,60269.11
298,train,6.190376,3.538462e-04,0.5061,1097.07,59737.41
299,train,6.092577,3.550296e-04,0.5044,1086.70,60307.18
300,train,6.389544,3.562130e-04,0.6685,1088.86,60187.63
301,train,6.400563,3.573964e-04,0.5351,1088.58,60203.29
302,train,6.095088,3.585799e-04,0.5429,1086.52,60317.17
303,train,6.258357,3.597633e-04,0.5300,1087.46,60264.97
304,train,6.131631,3.609467e-04,0.6755,1088.86,60187.94
305,train,6.267426,3.621302e-04,0.7715,1088.57,60203.79
306,train,6.102768,3.633136e-04,0.5938,1087.90,60240.62
307,train,6.211901,3.644970e-04,0.6839,1086.32,60328.33
308,train,6.271900,3.656805e-04,0.4354,1086.70,60307.45
309,train,6.245421,3.668639e-04,0.5893,1087.13,60283.44
310,train,6.423656,3.680473e-04,0.6420,1087.10,60285.08
311,train,6.418466,3.692308e-04,0.5719,1087.41,60268.06
312,train,6.137829,3.704142e-04,0.5560,1086.54,60316.10
313,train,6.311606,3.715976e-04,0.6880,1086.71,60306.75
314,train,6.295115,3.727811e-04,0.4624,1088.34,60216.29
315,train,6.382560,3.739645e-04,0.4549,1087.95,60238.06
316,train,6.290005,3.751479e-04,0.4050,1087.44,60266.21
317,train,6.293535,3.763314e-04,0.4483,1087.55,60260.29
318,train,6.180228,3.775148e-04,0.3522,1086.07,60342.45
319,train,6.489403,3.786982e-04,0.4937,1088.33,60217.24
