step,type,loss,lr,norm,dt_ms,tok_per_sec
360,train,6.143615,3.999537e-04,0.6283,1075.15,60955.01
361,train,6.291000,3.999494e-04,0.7179,1121.72,58424.77
362,train,6.132217,3.999449e-04,0.6627,1079.12,60730.97
363,train,6.210994,3.999402e-04,1.0407,1126.47,58178.43
364,train,6.210255,3.999353e-04,0.5706,1072.21,61122.49
365,train,6.238758,3.999302e-04,0.5560,1066.95,61423.42
366,train,6.125356,3.999249e-04,0.6517,1066.46,61451.83
367,train,6.212740,3.999195e-04,0.5099,1071.25,61177.06
368,train,6.063746,3.999138e-04,0.5457,1069.78,61260.96
369,train,6.048408,3.999080e-04,0.6438,1060.97,61770.02
370,train,6.101851,3.999020e-04,0.4608,1123.58,58327.73
371,train,6.062446,3.998958e-04,0.6553,1076.22,60894.48
372,train,6.112456,3.998893e-04,0.5082,1061.39,61745.20
373,train,6.390567,3.998827e-04,0.5876,1061.70,61727.48
374,train,6.251044,3.998759e-04,0.7097,1061.83,61719.65
375,train,6.506432,3.998690e-04,0.6650,1062.19,61698.75
376,train,6.205993,3.998618e-04,0.4656,1061.19,61757.24
377,train,6.228021,3.998544e-04,0.4462,1064.52,61563.99
378,train,6.358253,3.998468e-04,0.5277,1059.22,61871.93
379,train,6.323395,3.998391e-04,0.5387,1064.36,61573.12
380,train,6.320520,3.998311e-04,0.5893,1062.41,61686.42
381,train,6.281602,3.998230e-04,0.6402,1064.91,61541.34
382,train,6.287724,3.998147e-04,0.5674,1063.28,61635.51
383,train,6.234968,3.998062e-04,0.4076,1066.10,61472.55
384,train,6.370162,3.997975e-04,0.4425,1063.70,61611.50
385,train,6.296278,3.997886e-04,0.5452,1062.26,61694.90
386,train,6.213889,3.997795e-04,0.4152,1060.43,61801.20
387,train,6.182388,3.997702e-04,0.5613,1066.20,61466.74
388,train,6.320218,3.997607e-04,0.5277,1061.64,61730.84
389,train,6.340527,3.997510e-04,0.4486,1064.74,61550.93
390,train,6.317761,3.997412e-04,0.4462,1066.90,61426.44
391,train,6.291481,3.997311e-04,0.5051,1064.27,61578.50
392,train,6.166907,3.997209e-04,0.6274,1075.77,60920.23
393,train,6.196578,3.997105e-04,0.4287,1084.22,60445.33
394,train,6.200683,3.996999e-04,0.4905,1081.47,60598.81
395,train,6.191533,3.996890e-04,0.4667,1085.80,60357.20
396,train,6.183466,3.996780e-04,0.5194,1065.89,61484.50
397,train,6.180162,3.996668e-04,0.4774,1060.17,61816.38
398,train,6.346745,3.996555e-04,0.5361,1082.92,60517.96
399,train,6.215425,3.996439e-04,0.5386,1082.32,60551.41
400,train,6.207994,3.996321e-04,0.4388,1081.94,60572.91
401,train,6.367355,3.996202e-04,0.4415,1064.31,61575.99
402,train,6.277390,3.996080e-04,0.5627,1079.38,60716.36
403,train,6.123000,3.995957e-04,0.4895,1097.59,59708.73
404,train,6.346019,3.995831e-04,0.4733,1071.12,61184.74
405,train,6.264568,3.995704e-04,0.4940,1058.55,61911.29
406,train,6.301290,3.995575e-04,0.4469,1059.43,61859.95
407,train,6.191483,3.995444e-04,0.6086,1085.09,60397.10
408,train,6.227477,3.995311e-04,0.4749,1100.40,59556.68
409,train,6.242234,3.995176e-04,0.4433,1078.42,60770.23
410,train,6.299639,3.995039e-04,0.4258,1084.17,60448.07
411,train,6.145806,3.994901e-04,0.4186,1061.52,61738.00
412,train,6.258499,3.994760e-04,0.5026,1062.76,61665.62
413,train,6.243626,3.994617e-04,0.4568,1061.11,61761.84
414,train,6.193167,3.994473e-04,0.7887,1069.85,61257.12
415,train,6.127873,3.994327e-04,0.7222,1061.74,61725.31
416,train,6.223950,3.994178e-04,0.6626,1071.81,61145.00
417,train,6.201021,3.994028e-04,0.6338,1070.94,61195.10
418,train,6.231933,3.993876e-04,0.5820,1070.21,61236.47
419,train,6.310342,3.993722e-04,0.4653,1062.05,61707.36
420,train,6.183662,3.993566e-04,0.5148,1063.66,61613.53
421,train,6.291237,3.993409e-04,0.6380,1075.23,60950.89
422,train,6.115947,3.993249e-04,0.5970,1072.99,61078.03
423,train,6.163820,3.993087e-04,0.4992,1090.68,60087.44
424,train,6.212919,3.992924e-04,0.5885,1095.07,59846.66
425,train,6.190914,3.992758e-04,0.4128,1074.66,60982.80
426,train,6.115449,3.992591e-04,0.4427,1061.81,61721.15
427,train,6.161491,3.992422e-04,0.3764,1060.59,61791.92
428,train,6.194751,3.992251e-04,0.4201,1072.42,61110.66
429,train,6.138211,3.992078e-04,0.4509,1056.36,62039.29
430,train,6.051823,3.991903e-04,0.5358,1074.42,60996.48
431,train,6.077635,3.991726e-04,0.3735,1065.19,61524.89
432,train,6.069412,3.991547e-04,0.4344,1068.92,61310.39
