step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec
163,7.971030,-1.000000,0.000094,0.9777,990.07,66193.01
164,7.919417,-1.000000,0.000095,1.0047,988.72,66283.67
165,7.947869,-1.000000,0.000095,0.9899,975.45,67185.63
166,7.884296,-1.000000,0.000096,0.9606,977.08,67073.26
167,7.914680,-1.000000,0.000097,0.9086,979.13,66932.92
168,7.862518,-1.000000,0.000097,0.9665,980.99,66806.20
169,7.983506,-1.000000,0.000098,0.8305,981.47,66773.42
170,7.816657,-1.000000,0.000098,0.8538,984.54,66564.98
171,7.885334,-1.000000,0.000099,0.8966,998.80,65615.06
172,7.778442,-1.000000,0.000099,0.8396,1013.86,64640.03
173,7.837262,-1.000000,0.000100,0.7964,993.32,65977.01
174,7.807746,-1.000000,0.000100,0.7415,979.10,66935.12
175,7.906172,-1.000000,0.000100,0.8258,1025.45,63909.28
176,7.818083,-1.000000,0.000100,0.6880,982.51,66702.51
177,7.796929,-1.000000,0.000100,0.6542,984.54,66565.19
178,7.787247,-1.000000,0.000100,0.6624,993.81,65944.34
179,7.713261,-1.000000,0.000100,0.6656,996.43,65770.79
180,7.584956,-1.000000,0.000100,0.8293,981.71,66757.30
181,7.958282,-1.000000,0.000100,0.5407,976.18,67134.89
182,7.743437,-1.000000,0.000100,0.5490,978.23,66994.62
183,7.705734,-1.000000,0.000100,0.6685,980.32,66851.93
184,7.744322,-1.000000,0.000100,0.5651,973.93,67290.08
185,7.724208,-1.000000,0.000100,0.4886,979.71,66893.42
186,7.648301,-1.000000,0.000100,0.4996,977.38,67052.88
187,7.776326,-1.000000,0.000100,0.4458,978.37,66984.71
188,7.849913,-1.000000,0.000100,0.4525,977.75,67027.26
189,7.995181,-1.000000,0.000100,0.8308,979.90,66880.32
190,7.735126,-1.000000,0.000100,0.3963,974.93,67221.27
191,7.680444,-1.000000,0.000100,0.3812,978.71,66961.70
192,7.612124,-1.000000,0.000100,0.3933,983.33,66647.33
193,7.625400,-1.000000,0.000100,0.3774,983.20,66655.52
194,7.621006,-1.000000,0.000100,0.3555,977.95,67013.84
195,7.680045,-1.000000,0.000100,0.3557,980.76,66821.51
196,7.677857,-1.000000,0.000100,0.4820,975.68,67169.52
197,7.688228,-1.000000,0.000100,0.3487,972.57,67384.29
198,7.651471,-1.000000,0.000100,0.2770,974.24,67268.89
199,7.658154,-1.000000,0.000100,0.2450,979.20,66927.85
200,7.651780,7.635977,0.000100,0.2667,975.01,67215.68
201,7.635026,-1.000000,0.000100,0.2868,975.78,67162.48
202,7.512195,-1.000000,0.000100,0.2995,975.92,67153.21
203,7.609874,-1.000000,0.000100,0.2237,979.13,66932.68
204,7.598617,-1.000000,0.000100,0.2405,978.03,67008.19
205,7.644084,-1.000000,0.000100,0.2619,978.33,66987.65
206,7.678016,-1.000000,0.000100,0.2646,978.61,66968.68
207,7.591397,-1.000000,0.000100,0.2291,978.52,66974.88
208,7.793647,-1.000000,0.000100,0.2751,976.93,67083.76
209,7.598359,-1.000000,0.000100,0.2049,984.38,66575.82
210,7.736858,-1.000000,0.000100,0.2556,983.18,66657.15
211,7.633236,-1.000000,0.000100,0.1951,979.97,66875.71
